Token	Lexeme	Line No
KEYWORD	int	1
IDENTIFIER	a	1
OPERATOR	=	1
INT_CONST	5	1
PUNCTUATION	;	1
KEYWORD	const	2
KEYWORD	int	2
IDENTIFIER	b	2
OPERATOR	=	2
ERROR	10\	2
OPERATOR	/	4
OPERATOR	*	4
IDENTIFIER	Comments	4
IDENTIFIER	start	4
IDENTIFIER	here	4
OPERATOR	*	4
OPERATOR	/	4
KEYWORD	char	7
IDENTIFIER	c	7
OPERATOR	=	7
ERROR	'Car';	7
KEYWORD	string	8
IDENTIFIER	d	8
OPERATOR	=	8
STRING_CONST	"hello, this is lexical analysis"	8
PUNCTUATION	;	8
KEYWORD	float	9
IDENTIFIER	e	9
OPERATOR	=	9
FLOAT_CONST	1.45	9
PUNCTUATION	;	9
